AÑO,ARTICULO,GRAMOS POR PERSONAS,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
2001,Tortillas,402,0.3,0.3,0.3,0.31,0.3,0.31,0.32,0.32,0.32,0.31,0.31,0.3
2001,Arroz,39,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
2001,Carnes 1_ /,14,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
2001,Grasas 2 _ /,14,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
2001,Huevos,30,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
2001,Leche Fluida *,31,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
2001,Frutas 3_ /,16,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2001,Frijoles,60,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.07,0.06
2001,Azúcar,65,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
2001,Costo diario por persona,0,0.59,0.6,0.6,0.6,0.59,0.6,0.61,0.62,0.62,0.62,0.62,0.61
2001,más 10% (cocción),0,0.65,0.66,0.66,0.66,0.65,0.66,0.67,0.68,0.68,0.68,0.68,0.67
2002,Carnes 1_ /,14,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
2002,Grasas 2 _ /,14,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
2002,Huevos,30,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
2002,Leche Fluida *,31,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
2002,Frutas 3_ /,16,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2002,Frijoles,60,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05
2002,Azúcar,65,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
2002,Costo diario por persona,0,0.62,0.6,0.6,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.59,0.58
2002,más 10% (cocción),0,0.68,0.66,0.66,0.66,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.64
2002,Costo diario por familia de 4.73 miembros,0,3.22,3.12,3.12,3.12,3.12,3.07,3.07,3.07,3.07,3.07,3.07,3.03
2002,Costo mensual por familia**,0,96.6,93.6,93.6,93.6,93.6,92.1,92.1,92.1,92.1,92.1,92.1,90.9
2003,Huevos,30,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07
