AÑO,ARTICULO,GRAMOS POR PERSONAS,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
2001,Pan Francés,49,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.06,0.06,0.07,0.07
2001,Tortillas,223,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.12,0.12,0.11,0.11
2001,Arroz,55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.05
2001,Carnes 1_ /,60,0.25,0.25,0.25,0.25,0.25,0.26,0.26,0.26,0.26,0.26,0.26,0.26
2001,Grasas 2 _ /,33,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2001,Huevos,28,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06
2001,Leche Fluida *,106,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.08,0.08
2001,Frutas 3_ /,157,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.07,0.07,0.06
2001,Frijoles,79,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.09,0.08
2001,Verduras 4_ /,127,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.12,0.1
2001,Azúcar,69,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04
2002,Pan Francés,49,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
2002,Tortillas,223,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
2002,Arroz,55,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04
2002,Carnes 1_ /,60,0.26,0.26,0.26,0.27,0.26,0.26,0.26,0.27,0.27,0.26,0.27,0.27
2002,Grasas 2 _ /,33,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2002,Huevos,28,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2002,Leche Fluida *,106,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.08,0.08,0.08
2002,Frutas 3_ /,157,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
2002,Frijoles,79,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.07,0.07
2002,Verduras 4_ /,127,0.09,0.09,0.09,0.1,0.12,0.13,0.13,0.11,0.09,0.11,0.1,0.11
2002,Azúcar,69,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
2003,Pan Francés,49,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08
2003,Tortillas,223,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.12,0.11
2003,Arroz,55,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2003,Carnes 1_ /,60,0.27,0.27,0.27,0.26,0.27,0.26,0.27,0.27,0.27,0.26,0.26,0.26
2003,Grasas 2 _ /,33,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06
2003,Huevos,28,0.05,0.05,0.05,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06
2003,Leche Fluida *,106,0.08,0.08,0.08,0.08,0.07,0.08,0.07,0.08,0.07,0.07,0.07,0.07
2003,Frutas 3_ /,157,0.06,0.06,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.06
2003,Frijoles,79,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
2003,Verduras 4_ /,127,0.11,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.11,0.12,0.12,0.12
2003,Azúcar,69,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2004,Pan Francés,49,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08
2004,Tortillas,223,0.12,0.11,0.11,0.11,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.12
